country,year,volume,stock,volume_rate
Czechia/Slovakia,1996,18060000,1112451224.5428572,0.016234419632574406
Czechia/Slovakia,1997,18436000,1112451224.5428572,0.016572411979299102
Czechia/Slovakia,1998,19510000,1112451224.5428572,0.017537847565422298
Czechia/Slovakia,1999,19998000,1112451224.5428572,0.017976518483511793
Czechia/Slovakia,2000,20604000,1112451224.5428572,0.018521261467860636
Czechia/Slovakia,2001,20161900,1112451224.5428572,0.018123850785714393
Czechia/Slovakia,2002,20323000,1112451224.5428572,0.01826866612363287
Czechia/Slovakia,2003,21495000,1112451224.5428572,0.01932219545970027
Czechia/Slovakia,2004,22841000,1112451224.5428572,0.020532136147709414
Czechia/Slovakia,2005,24812000,1112451224.5428572,0.022303899220566786
Czechia/Slovakia,2006,25546509,1112451224.5428572,0.022964160977482766
Czechia/Slovakia,2007,26639486,1112451224.5428572,0.023946655289041587
Czechia/Slovakia,2008,25455556,1112451224.5428572,0.022882401887292205
Czechia/Slovakia,2009,24588991,1112451224.5428572,0.0221034329034106
Czechia/Slovakia,2010,26335068,1112451224.5428572,0.023673009134240423
Czechia/Slovakia,2011,24593907,1112451224.5428572,0.022107851973560858
Czechia/Slovakia,2012,23262674,1112451224.5428572,0.020911185575403002
Czechia/Slovakia,2013,23393587,1112451224.5428572,0.021028865341591218
Czechia/Slovakia,2014,24643980,1112451224.5428572,0.022152863385203267
Czechia/Slovakia,2015,25157604,1112451224.5428572,0.022614568122155728
Czechia/Slovakia,2016,25738868,1112451224.5428572,0.023137075524886
Switzerland,1984,4965000,406936772.24285716,0.012200912620000143
Switzerland,1985,4186000,406936772.24285716,0.010286610317687935
Switzerland,1986,4698000,406936772.24285716,0.011544791034997115
Switzerland,1987,4640000,406936772.24285716,0.011402262750614435
Switzerland,1988,4565000,406936772.24285716,0.011217958934602347
Switzerland,1989,4612000,406936772.24285716,0.011333455992636588
Switzerland,1990,6332000,406936772.24285716,0.015560156839847112
Switzerland,1991,4607000,406936772.24285716,0.011321169071569116
Switzerland,1992,4553000,406936772.24285716,0.011188470324040413
Switzerland,1993,4407000,406936772.24285716,0.010829692228870218
Switzerland,1994,4679000,406936772.24285716,0.01149810073494072
Switzerland,1995,4749000,406936772.24285716,0.011670117629885334
Switzerland,1996,4064000,406936772.24285716,0.009986809443641607
Switzerland,1997,4486000,406936772.24285716,0.011023825581736283
Switzerland,1998,4276000,406936772.24285716,0.01050777489690244
Switzerland,1999,4736000,406936772.24285716,0.011638171635109905
Switzerland,2000,9238000,406936772.24285716,0.0227013153642621
Switzerland,2001,5662000,406936772.24285716,0.013913709416805803
Switzerland,2002,4557000,406936772.24285716,0.011198299860894392
Switzerland,2003,5120000,406936772.24285716,0.01258180717309179
Switzerland,2004,5132000,406936772.24285716,0.012611295783653723
Switzerland,2005,5284639,406936772.24285716,0.012986388452617308
Switzerland,2006,5701527,406936772.24285716,0.0140108424426126
Switzerland,2007,5520012,406936772.24285716,0.013564790347100147
Switzerland,2008,4950358,406936772.24285716,0.012164931600346157
Switzerland,2009,4701775,406936772.24285716,0.011554067660403056
Switzerland,2010,4938036,406936772.24285716,0.012134651712067478
Switzerland,2011,4861007,406936772.24285716,0.011945361863486211
Switzerland,2012,4658595,406936772.24285716,0.011447957810064364
Switzerland,2013,4733800,406936772.24285716,0.011632765389840217
Switzerland,2014,4913390,406936772.24285716,0.012074087020741692
Switzerland,2015,4551980,406936772.24285716,0.011185963792142649
Switzerland,2016,4459390,406936772.24285716,0.010958434587815194
